Home: Benfica |4 : 1| Nacional
Home: Braga |0 : 4| Sporting
Home: Moreirense |2 : 1| Maritimo
Home: Belenenses |2 : 1| Estoril
Home: Tondela |2 : 0| Academica
Home: U. Madeira |1 : 2| Rio Ave
Home: Vitória Setúbal |0 : 0| Paços Ferreira
Home: Arouca |2 : 2| Vitória Guimarães
Home: FC Porto |4 : 0| Boavista
Home: Estoril |1 : 1| Arouca
Home: Maritimo |0 : 2| Benfica
Home: Vitória Guimarães |4 : 1| Moreirense
Home: Boavista |1 : 0| U. Madeira
Home: Nacional |2 : 2| Belenenses
Home: Sporting |5 : 0| Vitória Setúbal
Home: Academica |0 : 0| Braga
Home: Rio Ave |1 : 3| FC Porto
Home: Paços Ferreira |1 : 4| Tondela
Home: U. Madeira |3 : 1| Academica
Home: Arouca |3 : 0| Nacional
Home: Estoril |2 : 1| Maritimo
Home: Moreirense |1 : 1| Boavista
Home: FC Porto |1 : 3| Sporting
Home: Belenenses |0 : 2| Paços Ferreira
Home: Tondela |1 : 1| Rio Ave
Home: Braga |3 : 2| Vitória Setúbal
Home: Benfica |1 : 0| Vitória Guimarães
Home: Rio Ave |0 : 1| Benfica
Home: Vitória Guimarães |1 : 1| Estoril
Home: Maritimo |1 : 2| Arouca
Home: Nacional |0 : 1| Moreirense
Home: Vitória Setúbal |0 : 1| Tondela
Home: Paços Ferreira |1 : 0| Braga
Home: Sporting |2 : 0| U. Madeira
Home: Academica |1 : 2| FC Porto
Home: Boavista |1 : 0| Belenenses
Home: Benfica |2 : 1| Vitória Setúbal
Home: Braga |3 : 0| Tondela
Home: FC Porto |4 : 0| Nacional
Home: Maritimo |3 : 0| Vitória Guimarães
Home: Belenenses |1 : 1| Academica
Home: U. Madeira |3 : 4| Paços Ferreira
Home: Moreirense |0 : 1| Sporting
Home: Estoril |1 : 0| Boavista
Home: Arouca |0 : 0| Rio Ave
Home: Rio Ave |2 : 0| Vitória Guimarães
Home: Braga |1 : 1| Moreirense
Home: Paços Ferreira |1 : 0| FC Porto
Home: Nacional |4 : 1| Estoril
Home: Tondela |1 : 0| U. Madeira
Home: Vitória Setúbal |0 : 1| Belenenses
Home: Sporting |3 : 1| Maritimo
Home: Academica |1 : 2| Benfica
Home: Boavista |0 : 0| Arouca
Home: Belenenses |2 : 5| Sporting
Home: FC Porto |0 : 1| Tondela
Home: Moreirense |0 : 1| Rio Ave
Home: Estoril |1 : 0| Paços Ferreira
Home: U. Madeira |2 : 2| Vitória Setúbal
Home: Vitória Guimarães |1 : 1| Boavista
Home: Maritimo |2 : 0| Nacional
Home: Arouca |3 : 2| Academica
Home: Benfica |5 : 1| Braga
Home: Braga |2 : 0| U. Madeira
Home: Boavista |0 : 1| Benfica
Home: Academica |0 : 3| Estoril
Home: Nacional |3 : 2| Vitória Guimarães
Home: Paços Ferreira |0 : 0| Moreirense
Home: Tondela |2 : 2| Belenenses
Home: Vitória Setúbal |0 : 1| FC Porto
Home: Sporting |5 : 1| Arouca
Home: Rio Ave |1 : 0| Maritimo
Home: Benfica |4 : 1| Tondela
Home: Belenenses |3 : 0| Braga
Home: Vitória Guimarães |0 : 1| Paços Ferreira
Home: Arouca |1 : 0| Vitória Setúbal
Home: Moreirense |2 : 2| Academica
Home: Nacional |1 : 0| Rio Ave
Home: FC Porto |3 : 2| U. Madeira
Home: Estoril |1 : 2| Sporting
Home: Maritimo |0 : 3| Boavista
Home: Rio Ave |1 : 3| Estoril
Home: Braga |3 : 1| FC Porto
Home: Academica |2 : 0| Vitória Guimarães
Home: Boavista |0 : 1| Nacional
Home: Tondela |0 : 1| Arouca
Home: U. Madeira |0 : 0| Belenenses
Home: Vitória Setúbal |0 : 1| Moreirense
Home: Sporting |0 : 1| Benfica
Home: Paços Ferreira |2 : 2| Maritimo
Home: Vitória Guimarães |0 : 0| Sporting
Home: Benfica |2 : 0| U. Madeira
Home: Belenenses |1 : 2| FC Porto
Home: Maritimo |1 : 0| Academica
Home: Moreirense |1 : 2| Tondela
Home: Estoril |3 : 0| Vitória Setúbal
Home: Arouca |0 : 0| Braga
Home: Boavista |1 : 2| Rio Ave
Home: Nacional |3 : 0| Paços Ferreira
Home: Sporting |2 : 0| Boavista
Home: Braga |3 : 3| Vitória Guimarães
Home: FC Porto |3 : 2| Moreirense
Home: Belenenses |0 : 2| Arouca
Home: Tondela |3 : 4| Maritimo
Home: Vitória Setúbal |1 : 1| Nacional
Home: Academica |0 : 2| Rio Ave
Home: Paços Ferreira |1 : 3| Benfica
Home: U. Madeira |1 : 1| Estoril
Home: Rio Ave |1 : 1| Paços Ferreira
Home: Maritimo |1 : 3| Braga
Home: Boavista |0 : 0| Academica
Home: Arouca |3 : 0| U. Madeira
Home: Estoril |2 : 1| Tondela
Home: Vitória Guimarães |2 : 2| Vitória Setúbal
Home: Nacional |0 : 4| Sporting
Home: Moreirense |2 : 3| Belenenses
Home: Benfica |1 : 2| FC Porto
Home: Braga |2 : 0| Estoril
Home: Sporting |0 : 0| Rio Ave
Home: FC Porto |1 : 2| Arouca
Home: Academica |2 : 2| Nacional
Home: Paços Ferreira |0 : 1| Boavista
Home: U. Madeira |0 : 1| Moreirense
Home: Tondela |1 : 1| Vitória Guimarães
Home: Vitória Setúbal |1 : 1| Maritimo
Home: Belenenses |0 : 5| Benfica
Home: Maritimo |1 : 2| Belenenses
Home: Moreirense |1 : 4| Benfica
Home: Boavista |0 : 0| Braga
Home: Arouca |2 : 2| Paços Ferreira
Home: Nacional |3 : 1| Tondela
Home: Rio Ave |2 : 1| Vitória Setúbal
Home: Sporting |3 : 2| Academica
Home: Estoril |1 : 3| FC Porto
Home: Vitória Guimarães |3 : 1| U. Madeira
Home: Tondela |1 : 2| Boavista
Home: FC Porto |1 : 0| Maritimo
Home: Braga |5 : 1| Rio Ave
Home: Belenenses |3 : 3| Vitória Guimarães
Home: Paços Ferreira |1 : 3| Sporting
Home: Benfica |3 : 1| Arouca
Home: Moreirense |1 : 3| Estoril
Home: U. Madeira |3 : 0| Nacional
Home: Vitória Setúbal |2 : 1| Academica
Home: Boavista |4 : 0| Vitória Setúbal
Home: Vitória Guimarães |1 : 0| FC Porto
Home: Nacional |2 : 3| Braga
Home: Arouca |1 : 2| Moreirense
Home: Rio Ave |1 : 2| Belenenses
Home: Estoril |1 : 2| Benfica
Home: Maritimo |0 : 1| U. Madeira
Home: Academica |1 : 1| Paços Ferreira
Home: Sporting |2 : 2| Tondela
Home: Paços Ferreira |2 : 1| Vitória Setúbal
Home: Nacional |1 : 4| Benfica
Home: Boavista |0 : 5| FC Porto
Home: Academica |2 : 1| Tondela
Home: Estoril |2 : 0| Belenenses
Home: Maritimo |5 : 1| Moreirense
Home: Rio Ave |1 : 0| U. Madeira
Home: Sporting |3 : 2| Braga
Home: Vitória Guimarães |2 : 2| Arouca
Home: FC Porto |1 : 1| Rio Ave
Home: Vitória Setúbal |0 : 6| Sporting
Home: Benfica |6 : 0| Maritimo
Home: Braga |3 : 0| Academica
Home: Belenenses |2 : 2| Nacional
